Contract ID,Reference IDV,Modification Number,Transaction Number,Award/IDV Type,Action Obligation ($),Date Signed,Solicitation Date,Contracting Agency ID,Contracting Agency,Contracting Office Name,PSC Type,PSC,PSC Description,NAICS,NAICS Description,Entity City,Entity State,Entity ZIP Code,Additional Reporting Code,Additional Reporting Description,Unique Entity ID,Ultimate Parent Unique Entity ID,Ultimate Parent Legal Business Name,Legal Business Name,CAGE Code,
"73351018C0003",,"0","0","DCA Definitive Contract","$16,411.19","Dec 1, 2017",,"7300","SMALL BUSINESS ADMINISTRATION","OFC OF PERF MGMT AND CFO","S","D319","IT AND TELECOM- ANNUAL SOFTWARE MAINTENANCE SERVICE PLANS","511210","SOFTWARE PUBLISHERS","WINDSOR","CO","805505715","NONE","NONE OF THE ABOVE","S2LLK9JYGMJ4","S2LLK9JYGMJ4","COMMON SENSE & LOGIC LLC","CLEAR GLOBAL SOLUTIONS LLC","6CU05",
"73351018C0003",,"P00001","0","DCA Definitive Contract","$0.00","Apr 25, 2022",,"7300","SMALL BUSINESS ADMINISTRATION","OFC OF PERF MGMT AND CFO","S","D319","IT AND TELECOM- ANNUAL SOFTWARE MAINTENANCE SERVICE PLANS","511210","SOFTWARE PUBLISHERS","WINDSOR","CO","805505715","NONE","NONE OF THE ABOVE","S2LLK9JYGMJ4","S2LLK9JYGMJ4","COMMON SENSE & LOGIC LLC","CLEAR GLOBAL SOLUTIONS LLC","6CU05",
"73351018C0003",,"P0001","0","DCA Definitive Contract","$0.00","Jan 9, 2018",,"7300","SMALL BUSINESS ADMINISTRATION","OFC OF PERF MGMT AND CFO","S","D319","IT AND TELECOM- ANNUAL SOFTWARE MAINTENANCE SERVICE PLANS","511210","SOFTWARE PUBLISHERS","WINDSOR","CO","805505715","NONE","NONE OF THE ABOVE","S2LLK9JYGMJ4","S2LLK9JYGMJ4","COMMON SENSE & LOGIC LLC","CLEAR GLOBAL SOLUTIONS LLC","6CU05",
"73351018F0180","NNG15SD00B","0","0","DO Delivery Order","$44,029.77","Jul 3, 2018",,"7300","SMALL BUSINESS ADMINISTRATION","OFC OF PERF MGMT AND CFO","S","D319","IT AND TELECOM- ANNUAL SOFTWARE MAINTENANCE SERVICE PLANS","541519","OTHER COMPUTER RELATED SERVICES","SAN DIEGO","CA","921105167","NONE","NONE OF THE ABOVE","MDC5LDZKQAM4","MDC5LDZKQAM4","BLUE TECH INC.","BLUE TECH INC.","0CL10",
"73351018P0026",,"0","0","PO Purchase Order","$908,943.50","Mar 23, 2018",,"7300","SMALL BUSINESS ADMINISTRATION","OFC OF PERF MGMT AND CFO","S","R410","SUPPORT- PROFESSIONAL: PROGRAM EVALUATION/REVIEW/DEVELOPMENT","541611","ADMINISTRATIVE MANAGEMENT AND GENERAL MANAGEMENT CONSULTING SERVICES","GAITHERSBURG","MD","208782778","NONE","NONE OF THE ABOVE","JLUYJ8S6MG19","JLUYJ8S6MG19","CONSULT DSA  LLC","CONSULT DSA, LLC","7LVM6",
"73351018P0026",,"P00001","0","PO Purchase Order","$85,671.00","Dec 21, 2018",,"7300","SMALL BUSINESS ADMINISTRATION","OFC OF PERF MGMT AND CFO","S","R410","SUPPORT- PROFESSIONAL: PROGRAM EVALUATION/REVIEW/DEVELOPMENT","541611","ADMINISTRATIVE MANAGEMENT AND GENERAL MANAGEMENT CONSULTING SERVICES","GAITHERSBURG","MD","208782778","NONE","NONE OF THE ABOVE","JLUYJ8S6MG19","JLUYJ8S6MG19","CONSULT DSA  LLC","CONSULT DSA, LLC","7LVM6",
"73351018P0026",,"P00002","0","PO Purchase Order","-$32,639.75","Jun 1, 2022",,"7300","SMALL BUSINESS ADMINISTRATION","OFC OF PERF MGMT AND CFO","S","R410","SUPPORT- PROFESSIONAL: PROGRAM EVALUATION/REVIEW/DEVELOPMENT","541611","ADMINISTRATIVE MANAGEMENT AND GENERAL MANAGEMENT CONSULTING SERVICES","GAITHERSBURG","MD","208782778","NONE","NONE OF THE ABOVE","JLUYJ8S6MG19","JLUYJ8S6MG19","CONSULT DSA  LLC","CONSULT DSA, LLC","7LVM6",
"73351018P0026",,"P00003","0","PO Purchase Order","-$5,386.50","Jul 2, 2022",,"7300","SMALL BUSINESS ADMINISTRATION","OFC OF PERF MGMT AND CFO","S","R410","SUPPORT- PROFESSIONAL: PROGRAM EVALUATION/REVIEW/DEVELOPMENT","541611","ADMINISTRATIVE MANAGEMENT AND GENERAL MANAGEMENT CONSULTING SERVICES","GAITHERSBURG","MD","208782778","NONE","NONE OF THE ABOVE","JLUYJ8S6MG19","JLUYJ8S6MG19","CONSULT DSA  LLC","CONSULT DSA, LLC","7LVM6",
"73351019D0010",,"0",0,"IDC Indefinite Delivery Contract","$0.00","Aug 9, 2019",,"7300","SMALL BUSINESS ADMINISTRATION","OFC OF PERF MGMT AND CFO","S","R499","SUPPORT- PROFESSIONAL: OTHER","541611","ADMINISTRATIVE MANAGEMENT AND GENERAL MANAGEMENT CONSULTING SERVICES","GREENBELT","MD","207701416","NONE","NONE OF THE ABOVE","YTF2AEMKU5V6","YTF2AEMKU5V6","COLEMAN GROUP  INC.  THE","COLEMAN GROUP, INC., THE","3TMY6",
"73351019D0010",,"P00001",0,"IDC Indefinite Delivery Contract","$0.00","Aug 27, 2019",,"7300","SMALL BUSINESS ADMINISTRATION","OFC OF PERF MGMT AND CFO","S","R499","SUPPORT- PROFESSIONAL: OTHER","541611","ADMINISTRATIVE MANAGEMENT AND GENERAL MANAGEMENT CONSULTING SERVICES","GREENBELT","MD","207701416","NONE","NONE OF THE ABOVE","YTF2AEMKU5V6","YTF2AEMKU5V6","COLEMAN GROUP  INC.  THE","COLEMAN GROUP, INC., THE","3TMY6",
"73351019D0010",,"P00002",0,"IDC Indefinite Delivery Contract","$0.00","Oct 15, 2021",,"7300","SMALL BUSINESS ADMINISTRATION","OFC OF PERF MGMT AND CFO","S","R499","SUPPORT- PROFESSIONAL: OTHER","541611","ADMINISTRATIVE MANAGEMENT AND GENERAL MANAGEMENT CONSULTING SERVICES","GREENBELT","MD","207701416","NONE","NONE OF THE ABOVE","YTF2AEMKU5V6","YTF2AEMKU5V6","COLEMAN GROUP  INC.  THE","COLEMAN GROUP, INC., THE","3TMY6",
"73351019D0010",,"P00003",0,"IDC Indefinite Delivery Contract","$0.00","Apr 26, 2022",,"7300","SMALL BUSINESS ADMINISTRATION","OFC OF PERF MGMT AND CFO","S","R499","SUPPORT- PROFESSIONAL: OTHER","541611","ADMINISTRATIVE MANAGEMENT AND GENERAL MANAGEMENT CONSULTING SERVICES","GREENBELT","MD","207701416","NONE","NONE OF THE ABOVE","YTF2AEMKU5V6","YTF2AEMKU5V6","COLEMAN GROUP  INC.  THE","COLEMAN GROUP, INC., THE","3TMY6",
"73351019F0007","73351018A0034","0","0","BPA Call Blanket Purchase Agreement","$11,920.00","Nov 8, 2018",,"7300","SMALL BUSINESS ADMINISTRATION","OFC OF PERF MGMT AND CFO","P","7050","INFORMATION TECHNOLOGY COMPONENTS","334111","ELECTRONIC COMPUTER MANUFACTURING","PHOENIX","AZ","850274100","NONE","NONE OF THE ABOVE","LG7SDLNKUQ27","LG7SDLNKUQ27","TRANSOURCE SERVICES CORP.","TRANSOURCE SERVICES CORP.","0MM09",
"73351019F0007","73351018A0034","P00001","0","BPA Call Blanket Purchase Agreement","$0.00","Nov 20, 2018",,"7300","SMALL BUSINESS ADMINISTRATION","OFC OF PERF MGMT AND CFO","P","7050","INFORMATION TECHNOLOGY COMPONENTS","334111","ELECTRONIC COMPUTER MANUFACTURING","PHOENIX","AZ","850274100","NONE","NONE OF THE ABOVE","LG7SDLNKUQ27","LG7SDLNKUQ27","TRANSOURCE SERVICES CORP.","TRANSOURCE SERVICES CORP.","0MM09",
"73351019F0007","73351018A0034","P00002","0","BPA Call Blanket Purchase Agreement","$0.00","Apr 12, 2023",,"7300","SMALL BUSINESS ADMINISTRATION","OFC OF PERF MGMT AND CFO","P","7050","INFORMATION TECHNOLOGY COMPONENTS","334111","ELECTRONIC COMPUTER MANUFACTURING","PHOENIX","AZ","850274100","NONE","NONE OF THE ABOVE","LG7SDLNKUQ27","HX5FCYLHM643","TRANSOURCE SERVICES CORP","TRANSOURCE SERVICES CORP.","0MM09",
"73351019F0189","47QTCA18D00JP","0","0","DO Delivery Order","$43,780.00","Aug 19, 2019","Aug 6, 2019","7300","SMALL BUSINESS ADMINISTRATION","OFC OF PERF MGMT AND CFO","S","J070","MAINT/REPAIR/REBUILD OF EQUIPMENT- ADP EQUIPMENT/SOFTWARE/SUPPLIES/SUPPORT EQUIPMENT","334111","ELECTRONIC COMPUTER MANUFACTURING","FREDERICKSBURG","VA","224082097","NONE","NONE OF THE ABOVE","ELJKT2HM49Y4","ELJKT2HM49Y4","EDAC SYSTEMS  INC.","EDAC SYSTEMS, INC.","0SGX1",
"73351019F0189","47QTCA18D00JP","P00001","0","DO Delivery Order","$21,890.00","Aug 28, 2020","Aug 6, 2019","7300","SMALL BUSINESS ADMINISTRATION","OFC OF PERF MGMT AND CFO","S","J070","MAINT/REPAIR/REBUILD OF EQUIPMENT- ADP EQUIPMENT/SOFTWARE/SUPPLIES/SUPPORT EQUIPMENT","334111","ELECTRONIC COMPUTER MANUFACTURING","FREDERICKSBURG","VA","224082097","NONE","NONE OF THE ABOVE","ELJKT2HM49Y4","ELJKT2HM49Y4","EDAC SYSTEMS  INC.","EDAC SYSTEMS, INC.","0SGX1",
"73351019F0189","47QTCA18D00JP","P00002","0","DO Delivery Order","-$21,890.00","Sep 21, 2020","Aug 6, 2019","7300","SMALL BUSINESS ADMINISTRATION","OFC OF PERF MGMT AND CFO","S","J070","MAINT/REPAIR/REBUILD OF EQUIPMENT- ADP EQUIPMENT/SOFTWARE/SUPPLIES/SUPPORT EQUIPMENT","334111","ELECTRONIC COMPUTER MANUFACTURING","FREDERICKSBURG","VA","224082097","NONE","NONE OF THE ABOVE","ELJKT2HM49Y4","ELJKT2HM49Y4","EDAC SYSTEMS  INC.","EDAC SYSTEMS, INC.","0SGX1",
"73351019F0189","47QTCA18D00JP","P00003","0","DO Delivery Order","$0.00","Dec 19, 2022","Aug 6, 2019","7300","SMALL BUSINESS ADMINISTRATION","OFC OF PERF MGMT AND CFO","S","J070","MAINT/REPAIR/REBUILD OF EQUIPMENT- ADP EQUIPMENT/SOFTWARE/SUPPLIES/SUPPORT EQUIPMENT","334111","ELECTRONIC COMPUTER MANUFACTURING","FREDERICKSBURG","VA","224082097","NONE","NONE OF THE ABOVE","ELJKT2HM49Y4","ELJKT2HM49Y4","EDAC SYSTEMS  INC.","EDAC SYSTEMS, INC.","0SGX1",
"73351019F0240","47QRAA18D00BR","0","0","DO Delivery Order","$530,000.00","Sep 24, 2019","Aug 20, 2019","7300","SMALL BUSINESS ADMINISTRATION","OFC OF PERF MGMT AND CFO","S","R410","SUPPORT- PROFESSIONAL: PROGRAM EVALUATION/REVIEW/DEVELOPMENT","541611","ADMINISTRATIVE MANAGEMENT AND GENERAL MANAGEMENT CONSULTING SERVICES","ANNANDALE","VA","220032406","NONE","NONE OF THE ABOVE","DS8KNSY6UQB6","DS8KNSY6UQB6","QUALITY SYSTEMS MANAGEMENT  INC.","QUALITY SYSTEMS MANAGEMENT, INC.","080T3",
"73351019F0240","47QRAA18D00BR","P00001","0","DO Delivery Order","$0.00","Oct 2, 2019","Aug 20, 2019","7300","SMALL BUSINESS ADMINISTRATION","OFC OF PERF MGMT AND CFO","S","R410","SUPPORT- PROFESSIONAL: PROGRAM EVALUATION/REVIEW/DEVELOPMENT","541611","ADMINISTRATIVE MANAGEMENT AND GENERAL MANAGEMENT CONSULTING SERVICES","ANNANDALE","VA","220032406","NONE","NONE OF THE ABOVE","DS8KNSY6UQB6","DS8KNSY6UQB6","QUALITY SYSTEMS MANAGEMENT  INC.","QUALITY SYSTEMS MANAGEMENT, INC.","080T3",
"73351019F0240","47QRAA18D00BR","P00002","0","DO Delivery Order","$264,116.60","Sep 17, 2020","Aug 20, 2019","7300","SMALL BUSINESS ADMINISTRATION","OFC OF PERF MGMT AND CFO","S","R410","SUPPORT- PROFESSIONAL: PROGRAM EVALUATION/REVIEW/DEVELOPMENT","541611","ADMINISTRATIVE MANAGEMENT AND GENERAL MANAGEMENT CONSULTING SERVICES","ANNANDALE","VA","220032406","NONE","NONE OF THE ABOVE","DS8KNSY6UQB6","DS8KNSY6UQB6","QUALITY SYSTEMS MANAGEMENT  INC.","QUALITY SYSTEMS MANAGEMENT, INC.","080T3",
"73351019F0240","47QRAA18D00BR","P00003","0","DO Delivery Order","$527,644.80","Mar 8, 2021","Aug 20, 2019","7300","SMALL BUSINESS ADMINISTRATION","OFC OF PERF MGMT AND CFO","S","R410","SUPPORT- PROFESSIONAL: PROGRAM EVALUATION/REVIEW/DEVELOPMENT","541611","ADMINISTRATIVE MANAGEMENT AND GENERAL MANAGEMENT CONSULTING SERVICES","ANNANDALE","VA","220032406","NONE","NONE OF THE ABOVE","DS8KNSY6UQB6","DS8KNSY6UQB6","QUALITY SYSTEMS MANAGEMENT  INC.","QUALITY SYSTEMS MANAGEMENT, INC.","080T3",
"73351019F0240","47QRAA18D00BR","P00004","0","DO Delivery Order","$535,502.40","Mar 15, 2022","Aug 20, 2019","7300","SMALL BUSINESS ADMINISTRATION","OFC OF PERF MGMT AND CFO","S","R410","SUPPORT- PROFESSIONAL: PROGRAM EVALUATION/REVIEW/DEVELOPMENT","541611","ADMINISTRATIVE MANAGEMENT AND GENERAL MANAGEMENT CONSULTING SERVICES","ANNANDALE","VA","220032406","NONE","NONE OF THE ABOVE","DS8KNSY6UQB6","DS8KNSY6UQB6","QUALITY SYSTEMS MANAGEMENT  INC.","QUALITY SYSTEMS MANAGEMENT, INC.","080T3",
"73351019F0240","47QRAA18D00BR","P00005","0","DO Delivery Order","$543,475.20","Feb 8, 2023","Aug 20, 2019","7300","SMALL BUSINESS ADMINISTRATION","OFC OF PERF MGMT AND CFO","S","R410","SUPPORT- PROFESSIONAL: PROGRAM EVALUATION/REVIEW/DEVELOPMENT","541611","ADMINISTRATIVE MANAGEMENT AND GENERAL MANAGEMENT CONSULTING SERVICES","ANNANDALE","VA","220032406","NONE","NONE OF THE ABOVE","DS8KNSY6UQB6","DS8KNSY6UQB6","QUALITY SYSTEMS MANAGEMENT  INC.","QUALITY SYSTEMS MANAGEMENT, INC.","080T3",
"73351020C0012",,"0","0","DCA Definitive Contract","$1,043,000.00","Apr 28, 2020",,"7300","SMALL BUSINESS ADMINISTRATION","OFC OF PERF MGMT AND CFO","S","R410","SUPPORT- PROFESSIONAL: PROGRAM EVALUATION/REVIEW/DEVELOPMENT","541611","ADMINISTRATIVE MANAGEMENT AND GENERAL MANAGEMENT CONSULTING SERVICES","GAITHERSBURG","MD","208782778","S","SERVICE CONTRACT INVENTORY (FAR 4.17)","JLUYJ8S6MG19","JLUYJ8S6MG19","CONSULT DSA  LLC","CONSULT DSA, LLC","7LVM6",
"73351020C0012",,"P00001","0","DCA Definitive Contract","$0.00","May 11, 2020",,"7300","SMALL BUSINESS ADMINISTRATION","OFC OF PERF MGMT AND CFO","S","R410","SUPPORT- PROFESSIONAL: PROGRAM EVALUATION/REVIEW/DEVELOPMENT","541611","ADMINISTRATIVE MANAGEMENT AND GENERAL MANAGEMENT CONSULTING SERVICES","GAITHERSBURG","MD","208782778","S","SERVICE CONTRACT INVENTORY (FAR 4.17)","JLUYJ8S6MG19","JLUYJ8S6MG19","CONSULT DSA  LLC","CONSULT DSA, LLC","7LVM6",
"73351020C0012",,"P00002","0","DCA Definitive Contract","$0.00","Aug 14, 2020",,"7300","SMALL BUSINESS ADMINISTRATION","OFC OF PERF MGMT AND CFO","S","R410","SUPPORT- PROFESSIONAL: PROGRAM EVALUATION/REVIEW/DEVELOPMENT","541611","ADMINISTRATIVE MANAGEMENT AND GENERAL MANAGEMENT CONSULTING SERVICES","GAITHERSBURG","MD","208782778","S","SERVICE CONTRACT INVENTORY (FAR 4.17)","JLUYJ8S6MG19","JLUYJ8S6MG19","CONSULT DSA  LLC","CONSULT DSA, LLC","7LVM6",
"73351020C0012",,"P00003","0","DCA Definitive Contract","$1,000,000.00","Apr 27, 2021",,"7300","SMALL BUSINESS ADMINISTRATION","OFC OF PERF MGMT AND CFO","S","R410","SUPPORT- PROFESSIONAL: PROGRAM EVALUATION/REVIEW/DEVELOPMENT","541611","ADMINISTRATIVE MANAGEMENT AND GENERAL MANAGEMENT CONSULTING SERVICES","GAITHERSBURG","MD","208782778","S","SERVICE CONTRACT INVENTORY (FAR 4.17)","JLUYJ8S6MG19","JLUYJ8S6MG19","CONSULT DSA  LLC","CONSULT DSA, LLC","7LVM6",
"73351020C0012",,"P00004","0","DCA Definitive Contract","$0.00","Jul 27, 2021",,"7300","SMALL BUSINESS ADMINISTRATION","OFC OF PERF MGMT AND CFO","S","R410","SUPPORT- PROFESSIONAL: PROGRAM EVALUATION/REVIEW/DEVELOPMENT","541611","ADMINISTRATIVE MANAGEMENT AND GENERAL MANAGEMENT CONSULTING SERVICES","GAITHERSBURG","MD","208782778","S","SERVICE CONTRACT INVENTORY (FAR 4.17)","JLUYJ8S6MG19","JLUYJ8S6MG19","CONSULT DSA  LLC","CONSULT DSA, LLC","7LVM6",
"73351020C0012",,"P00005","0","DCA Definitive Contract","$500,000.00","Apr 26, 2022",,"7300","SMALL BUSINESS ADMINISTRATION","OFC OF PERF MGMT AND CFO","S","R410","SUPPORT- PROFESSIONAL: PROGRAM EVALUATION/REVIEW/DEVELOPMENT","541611","ADMINISTRATIVE MANAGEMENT AND GENERAL MANAGEMENT CONSULTING SERVICES","GAITHERSBURG","MD","208782778","S","SERVICE CONTRACT INVENTORY (FAR 4.17)","JLUYJ8S6MG19","JLUYJ8S6MG19","CONSULT DSA  LLC","CONSULT DSA, LLC","7LVM6",
"73351020C0012",,"P00006","0","DCA Definitive Contract","$0.00","Oct 11, 2022",,"7300","SMALL BUSINESS ADMINISTRATION","OFC OF PERF MGMT AND CFO","S","R410","SUPPORT- PROFESSIONAL: PROGRAM EVALUATION/REVIEW/DEVELOPMENT","541611","ADMINISTRATIVE MANAGEMENT AND GENERAL MANAGEMENT CONSULTING SERVICES","GAITHERSBURG","MD","208782778","S","SERVICE CONTRACT INVENTORY (FAR 4.17)","JLUYJ8S6MG19","JLUYJ8S6MG19","CONSULT DSA  LLC","CONSULT DSA, LLC","7LVM6",
"73351020C0012",,"P00007","0","DCA Definitive Contract","$83,862.00","Jan 11, 2023",,"7300","SMALL BUSINESS ADMINISTRATION","OFC OF PERF MGMT AND CFO","S","R410","SUPPORT- PROFESSIONAL: PROGRAM EVALUATION/REVIEW/DEVELOPMENT","541611","ADMINISTRATIVE MANAGEMENT AND GENERAL MANAGEMENT CONSULTING SERVICES","GAITHERSBURG","MD","208782778","S","SERVICE CONTRACT INVENTORY (FAR 4.17)","JLUYJ8S6MG19","JLUYJ8S6MG19","CONSULT DSA  LLC","CONSULT DSA, LLC","7LVM6",
"73351020C0012",,"P00008","0","DCA Definitive Contract","$279,702.00","Apr 25, 2023",,"7300","SMALL BUSINESS ADMINISTRATION","OFC OF PERF MGMT AND CFO","S","R410","SUPPORT- PROFESSIONAL: PROGRAM EVALUATION/REVIEW/DEVELOPMENT","541611","ADMINISTRATIVE MANAGEMENT AND GENERAL MANAGEMENT CONSULTING SERVICES","GAITHERSBURG","MD","208782778","S","SERVICE CONTRACT INVENTORY (FAR 4.17)","JLUYJ8S6MG19","JLUYJ8S6MG19","CONSULT DSA  LLC","CONSULT DSA, LLC","7LVM6",
"73351020D0004",,"0",0,"IDC Indefinite Delivery Contract","$0.00","Jul 30, 2020",,"7300","SMALL BUSINESS ADMINISTRATION","OFC OF PERF MGMT AND CFO","S","R699","SUPPORT- ADMINISTRATIVE: OTHER","561110","OFFICE ADMINISTRATIVE SERVICES","CROFTON","MD","211143129","NONE","NONE OF THE ABOVE","JQXBQDP6A7R5","JQXBQDP6A7R5","JARDIN GROUP  LLC","JARDIN GROUP, LLC","6JD38",
"73351020D0004",,"P00001",0,"IDC Indefinite Delivery Contract","$0.00","Sep 11, 2020",,"7300","SMALL BUSINESS ADMINISTRATION","OFC OF PERF MGMT AND CFO","S","R699","SUPPORT- ADMINISTRATIVE: OTHER","561110","OFFICE ADMINISTRATIVE SERVICES","CROFTON","MD","211143129","NONE","NONE OF THE ABOVE","JQXBQDP6A7R5","JQXBQDP6A7R5","JARDIN GROUP  LLC","JARDIN GROUP, LLC","6JD38",
"73351020D0004",,"P00002",0,"IDC Indefinite Delivery Contract","$0.00","Sep 15, 2020",,"7300","SMALL BUSINESS ADMINISTRATION","OFC OF PERF MGMT AND CFO","S","R699","SUPPORT- ADMINISTRATIVE: OTHER","561110","OFFICE ADMINISTRATIVE SERVICES","CROFTON","MD","211143129","NONE","NONE OF THE ABOVE","JQXBQDP6A7R5","JQXBQDP6A7R5","JARDIN GROUP  LLC","JARDIN GROUP, LLC","6JD38",
"73351020D0004",,"P00003",0,"IDC Indefinite Delivery Contract","$0.00","May 10, 2021",,"7300","SMALL BUSINESS ADMINISTRATION","OFC OF PERF MGMT AND CFO","S","R699","SUPPORT- ADMINISTRATIVE: OTHER","561110","OFFICE ADMINISTRATIVE SERVICES","CROFTON","MD","211143129","NONE","NONE OF THE ABOVE","JQXBQDP6A7R5","JQXBQDP6A7R5","JARDIN GROUP  LLC","JARDIN GROUP, LLC","6JD38",
"73351020D0004",,"P00004",0,"IDC Indefinite Delivery Contract","$0.00","Sep 6, 2022",,"7300","SMALL BUSINESS ADMINISTRATION","OFC OF PERF MGMT AND CFO","S","R699","SUPPORT- ADMINISTRATIVE: OTHER","561110","OFFICE ADMINISTRATIVE SERVICES","CROFTON","MD","211143129","NONE","NONE OF THE ABOVE","JQXBQDP6A7R5","JQXBQDP6A7R5","JARDIN GROUP  LLC","JARDIN GROUP, LLC","6JD38",
"73351020P0036",,"0","0","PO Purchase Order","$38,500.00","Jun 23, 2020",,"7300","SMALL BUSINESS ADMINISTRATION","OFC OF PERF MGMT AND CFO","P","7110","OFFICE FURNITURE","337214","OFFICE FURNITURE (EXCEPT WOOD) MANUFACTURING","BONNEY LAKE","WA","983916153","NONE","NONE OF THE ABOVE","KDNBFL5WQBC1","KDNBFL5WQBC1","BUYER SOLUTIONS","BUYER SOLUTIONS, LLC","654S9",
"73351021D0004",,"0",0,"IDC Indefinite Delivery Contract","$0.00","Sep 27, 2021","Feb 14, 2020","7300","SMALL BUSINESS ADMINISTRATION","OFC OF PERF MGMT AND CFO","P","8415","CLOTHING, SPECIAL PURPOSE","314999","ALL OTHER MISCELLANEOUS TEXTILE PRODUCT MILLS","HUNTINGTON STATION","NY","117466923","NONE","NONE OF THE ABOVE","MGBSXPDGWJJ4","MGBSXPDGWJJ4","FORGET ME KNOT LTD","FMK GROUP LLC","1UU25",
"73351021D0004",,"P00001",0,"IDC Indefinite Delivery Contract","$0.00","Sep 2, 2022","Feb 14, 2020","7300","SMALL BUSINESS ADMINISTRATION","OFC OF PERF MGMT AND CFO","P","8415","CLOTHING, SPECIAL PURPOSE","314999","ALL OTHER MISCELLANEOUS TEXTILE PRODUCT MILLS","HUNTINGTON STATION","NY","117466923","NONE","NONE OF THE ABOVE","MGBSXPDGWJJ4","MGBSXPDGWJJ4","FORGET ME KNOT LTD","FMK GROUP LLC","1UU25",
"73351021D0005",,"0",0,"IDC Indefinite Delivery Contract","$0.00","Sep 28, 2021","Feb 14, 2020","7300","SMALL BUSINESS ADMINISTRATION","OFC OF PERF MGMT AND CFO","P","8415","CLOTHING, SPECIAL PURPOSE","314999","ALL OTHER MISCELLANEOUS TEXTILE PRODUCT MILLS","HUNTINGTON STATION","NY","117466923","NONE","NONE OF THE ABOVE","MGBSXPDGWJJ4","MGBSXPDGWJJ4","FORGET ME KNOT LTD","FMK GROUP LLC","1UU25",
